item,calories,category
Artisan Grilled Chicken Sandwich,380,Side Dish
Single Bacon Smokehouse Burger,840,Main - Pork
Double Bacon Smokehouse Burger,1130,Main - Pork
Grilled Bacon Smokehouse Chicken Sandwich,750,Main - Chicken
Crispy Bacon Smokehouse Chicken Sandwich,920,Main - Chicken
Big Mac,540,Side Dish
Cheeseburger,300,Side Dish
Classic Chicken Sandwich,510,Side Dish
Double Cheeseburger,430,Side Dish
Double Quarter Pounder® with Cheese,770,Main - Other
Filet-O-Fish®,380,Side Dish
Garlic White Cheddar Burger,620,Side Dish
Grilled Garlic White Cheddar Chicken Sandwich,530,Side Dish
Crispy Garlic White Cheddar Chicken Sandwich,700,Main - Chicken
Hamburger,250,Side Dish
Lobster Roll,290,Side Dish
Maple Bacon Dijon 1/4 lb Burger,640,Side Dish
Grilled Maple Bacon Dijon Chicken Sandwich,580,Side Dish
Crispy Maple Bacon Dijon Chicken Sandwich,740,Main - Chicken
McChicken,350,Side Dish
McDouble,380,Side Dish
McRib,480,Side Dish
Pico Guacamole 1/4 lb Burger,580,Side Dish
Grilled Pico Guacamole Chicken Sandwich,520,Side Dish
Crispy Pico Guacamole Chicken Sandwich,680,Side Dish
Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,Side Dish
Premium Crispy Chicken Deluxe Sandwich,530,Side Dish
Quarter Pounder® with Cheese,530,Side Dish
Signature Sriracha Burger,670,Side Dish
Grilled Signature Sriracha Chicken Sandwich,560,Side Dish
Crispy Signature Sriracha Chicken Sandwich,730,Main - Chicken
Sweet BBQ Bacon 1/4 lb Burger,690,Side Dish
Grilled Sweet BBQ Bacon Chicken Sandwich,630,Side Dish
Crispy Sweet BBQ Bacon Chicken Sandwich,800,Main - Chicken
3 piece Buttermilk Crispy Chicken Tenders,370,Side Dish
4 piece Buttermilk Crispy Chicken Tenders,480,Side Dish
6 piece Buttermilk Crispy Chicken Tenders,760,Main - Chicken
10 piece Buttermilk Crispy Chicken Tenders,1210,Main - Chicken
12 piece Buttermilk Crispy Chicken Tenders,1510,Main - Chicken
20 piece Buttermilk Crispy Chicken Tenders,2430,Main - Chicken
4 Piece Chicken McNuggets,180,Side Dish
6 Piece Chicken McNuggets,270,Side Dish
10 Piece Chicken McNuggets,440,Side Dish
20 Piece Chicken McNuggets,890,Main - Chicken
40 piece Chicken McNuggets,1770,Main - Chicken
4 piece Sweet N Spicy Honey BBQ Glazed Tenders,640,Side Dish
6 piece Sweet N Spicy Honey BBQ Glazed Tenders,960,Main - Other
10 piece Sweet N Spicy Honey BBQ Glazed Tenders,1600,Main - Other
Premium Asian Salad w/o Chicken,140,Side Dish
Premium Asian Salad w/ Grilled Chicken,270,Side Dish
Premium Asian Salad w/ Crispy Chicken,490,Side Dish
Premium Bacon Ranch Salad w/o Chicken,190,Side Dish
Premium Bacon Ranch Salad w/ Grilled Chicken,320,Side Dish
Premium Bacon Ranch Salad w/ Crispy Chicken,490,Side Dish
Premium Southwest Salad w/o Chicken,220,Side Dish
Premium Southwest Salad w/ Grilled Chicken,350,Side Dish
Premium Southwest Salad w/ Crispy Chicken,520,Side Dish
Chargrilled Chicken Club Sandwich,430,Side Dish
Chargrilled Chicken Sandwich,310,Side Dish
Chick-n-Slider,270,Side Dish
1 Piece Chick-n-Strips,120,Side Dish
2 Piece Chick-n-Strips,230,Side Dish
3 Piece Chick-n-Strips,350,Side Dish
4 piece Chick-n-Strips,470,Side Dish
Chicken Deluxe,500,Side Dish
4 piece Chicken Nuggets,130,Side Dish
6 piece Chicken Nuggets,190,Side Dish
8 piece Chicken Nuggets,260,Side Dish
12 piece Chicken Nuggets,390,Side Dish
30 piece Chicken Nuggets,970,Main - Chicken
Chicken Salad Sandwich,490,Side Dish
Chicken Sandwich,440,Side Dish
4 Piece Grilled Chicken Nuggets,70,Side Dish
6 Piece Grilled Chicken Nuggets,110,Side Dish
8 piece Grilled Chicken Nuggets,140,Side Dish
12 Piece Grilled Chicken Nuggets,210,Side Dish
Spicy Grilled Chicken Sub Sandwich,430,Side Dish
Regular Grilled Chicken Sub Sandwich,450,Side Dish
Smokehouse BBQ Bacon Sandwich,500,Side Dish
Spicy Chicken Sandwich,450,Side Dish
Spicy Deluxe,540,Side Dish
Chargrilled Chicken Cool Wrap,350,Side Dish
Chicken Enchiladas Meal Kit,860,Main - Chicken
Chicken Parmesan Meal Kit,720,Main - Chicken
Hatch Green Chile Cheeseburger,710,Main - Other
Jalapeno Burger,640,Side Dish
Jr. Burger,340,Side Dish
